id,new_id,title,tags
524,15,Casino,poker drugabuse 1970s overdose illegalprostitution RobertDeNiro SharonStone JoePesci JamesWoods DonRickles AlanKing KevinPollak PasqualeCajano L.Q.Jones DickSmothers FrankVincent OscarGoodman RichardRiehle CatherineScorsese VinnyVella NobuMatsuhisa ErikavonTagen NickMazzola DavidRose JohnBloom JosephRigano PhilipSuriano MelissaProphet BillAllison JoeLaDue JosephP.Reidy CraigVincent CarlCiarfalio GeneRuffini DominickGrieco ClemCaserta DanielP.Conte JoeyDePinto JackOrend PaulHerman JedMills ClaudiaHaro FfolliottLeCoque JohnManca RonaldMaccone JosephBono FrankAdonis AnthonyRussell StuartNisbet AlfredNittoli Drama Crime 1995
4584,16,Sense and Sensibility,bowling basedonnovel servant countrylife janeausten inheritance militaryofficer perioddrama rainstorm horseandcarriage decorum KateWinslet EmmaThompson HughGrant TomWilkinson AlanRickman ImogenStubbs GregWise HughLaurie ImeldaStaunton RobertHardy OliverFordDavies JamesFleet HarrietWalter GemmaJones EmilieFrançois ElizabethSpriggs RichardLumsden Drama Romance 1995
5,17,Four Rooms,hotel newyear'seve witch bet hotelroom sperm losangeles hoodlum womandirector episodefilm TimRoth AntonioBanderas JenniferBeals Madonna MarisaTomei BruceWillis QuentinTarantino SammiDavis AmandadeCadenet ValeriaGolino LiliTaylor LawrenceBender IoneSkye AliciaWitt DavidProval LanaMcKissack TamlynTomita KathyGriffin PaulCalderon SalmaHayek PatriciaVonne DannyVerduzco KimberlyBlair MarcLawrence Crime Comedy 1995
9273,18,Ace Ventura: When Nature Calls,africa indigenous humananimalrelationship bat JimCarrey IanMcNeice SimonCallow MaynardEziashi BobGunton SophieOkonedo TommyDavidson AdewaleAkinnuoye-Agbaje DannyD.Daniels SamMotoanaPhillips DamonStandifer AndrewSteel BruceSpence TomGrunke Arsenio'Sonny'Trinidad Crime Comedy Adventure 1995
11517,19,Money Train,brotherbrotherrelationship subway newyorkcity newyorksubway trainrobbery WesleySnipes WoodyHarrelson JenniferLopez RobertBlake ChrisCooper JoeGrifasi ScottSowers SkippSudduth AidaTurturro VincentPastore EnricoColantoni BillNunn KatieGill JeremyRoberts JoeBacino Action Comedy Crime 1995
8012,20,Get Shorty,gambling miami basedonnovel job murder travel mafia money debt mobster business hollywood gangster crime violence drug producer con JohnTravolta GeneHackman ReneRusso DannyDeVito DennisFarina DelroyLindo JamesGandolfini JonGries ReneeProps DavidPaymer MartinFerrero MiguelSandoval JacobVargas BobbySlayton LindaHart JeffreyJ.Stephen Comedy Thriller Crime 1995
1710,21,Copycat,policebrutality psychology policeoperation policeprotection serialkiller psychologist cowardliness SigourneyWeaver HollyHunter WillPatton WilliamMcNamara HarryConnickJr. J.E.Freeman DermotMulroney JohnRothman ShannonO'Hurley BobGreene TonyHaney DannyKovacs TahmusRounds ScottDevenney DavidMichaelSilverman Drama Thriller 1995
9691,22,Assassins,competition assassination cia bank cat mexicanstandoff seattle hitman missionofmurder hiddencamera rivalry rescue shootout policechase sniperrifle silencer doublecross caribbean detroitmichigan SylvesterStallone AntonioBanderas JulianneMoore AnatoliDavydov MuseWatson SteveKahan KellyRowan ReedDiamond KaiWulff KerrySkalsky JamesDouglasHaskins StephenLiska JohnHarms EdwardJ.Rosen ChristinaOrchid ChocoOrta GermánLegarreta Action Adventure Crime Thriller 1995
12665,23,Powder,deadanimal shottodeath teenageboy heldatgunpoint teacherstudentrelationship albino fainting jacobsladder christallegory psionicpower healingpower lookingpale flickeringlight extrasensoryperception MarySteenburgen SeanPatrickFlanery LanceHenriksen JeffGoldblum BrandonSmith Drama Fantasy ScienceFiction Thriller 1995
451,24,Leaving Las Vegas,individual prostitute alcohol casino loveatfirstsight lovesickness filmproducer screenwriter hotelroom dyinganddeath rageandhate unsociability alcoholism losangeles alcoholabuse attemptedsuicide NicolasCage ElisabethShue JulianSands RichardLewis StevenWeber KimAdams EmilyProcter StuartReynolds ValeriaGolino GrahamBeckel MariskaHargitay LaurieMetcalf ShawneeSmith DavidKriegel Drama Romance 1995
16420,25,Othello,shakespeare jealousy friends moor LaurenceFishburne IrèneJacob KennethBranagh NathanielParker IndraOvé MichaelMaloney AnnaPatrick NicholasFarrell MichaelSheen Drama 1995
9263,26,Now and Then,1970s femalefriendship comingofage gynecologist photocopier truthordare womandirector ChristinaRicci RosieO'Donnell ThoraBirch MelanieGriffith GabyHoffmann DemiMoore AshleighAstonMoore RitaWilson WalterSparrow DevonSawa ClorisLeachman JaneaneGarofalo HankAzaria BonnieHunt LolitaDavidovich BrendanFraser Comedy Drama Family 1995
17015,27,Persuasion,captain napoleonicwars oldflame admiral AmandaRoot CiaránHinds SusanFleetwood FionaShaw JohnWoodvine PhoebeNicholls SamuelWest SophieThompson JudyCornwell SimonRussellBeale FelicityDean RogerHammond VictoriaHamilton CorinRedgrave EmmaRoberts RobertGlenister RichardMcCabe HelenSchlesinger JaneWood DavidCollings DarleneJohnson CinnamonFaye IsaacMaxwell-Hunt RogerLlewellyn SallyGeorge LonnieJames Drama Romance 1995
902,28,The City of Lost Children,clone dream island eye dystopia aging friendship rescue children girl childhood RonPerlman DominiquePinon JudithVittet DanielEmilfork Jean-ClaudeDreyfus GenevièveBrunet OdileMallet MireilleMossé SergeMerlin Rufus TickyHolgado CrisHuerta Jean-LouisTrintignant JosephLucien MapiGalán BriacBarthélémy Pierre-QuentinFaesch AlexisPivot FrançoisHadji-Lazaro DominiqueBettenfeld LotfiYahyaJedidi ThierryGibault MarcCaro Ham-ChauLuong FrankiePain EnriqueVillanueva DominiqueChevalier LorellaCravotta ÉricHouzelot PhilippeBeautier MarcAmyot Jean-PhilippeLabadie RaphaèleBouchard ElisabethEtienne RachelBoulenger MichelMotu NaneGermon Fantasy ScienceFiction Adventure 1995
37557,29,Shanghai Triad,servant cabaret shanghai diva uncle mistress umbrella GongLi LiBao-Tian WangXiaoxiao LiXuejian ChunSung FuBiao Drama Crime 1995
9909,30,Dangerous Minds,rapmusic karate highschool navalofficer teacher amusementpark MichellePfeiffer GeorgeDzundza CourtneyB.Vance RobinBartlett JohnNeville BeatriceWinde LorraineToussaint RenolySantiago WadeDominguez BruklinHarris MercelloThedford RobertoAlvarez RichardGrant MariselaGonzales ToniNichelleBuzhardt Drama Crime 1995
63,31,Twelve Monkeys,schizophrenia philadelphia cassandrasyndrom stockholmsyndrome timetravel post-apocalyptic dystopia lethalvirus monkey subterranean BruceWillis MadeleineStowe BradPitt ChristopherPlummer DavidMorse JonSeda FrankGorshin JosephMelito AaronMichaelLacey ChristopherMeloni JoeyPerillo LisaGayHamilton MattRoss AnnieGolden MichaelChance VernonCampbell H.MichaelWalls BobAdrian SimonJones CarolFlorence BillRaymond ErnestAbuba IrmaSt.Paule RozwillYoung NellJohnson FrederickStrother CharlesTechman RickWarner Anthony'Chip'Brienza BruceKirkpatrick WilfredWilliams JoiletHarris DrucieMcDaniel JohnBlaisse LouisLippa StanKang PatDias FelixPire KarlWarren JosephMcKenna StephenBridgewater RayHuffman CharleyScalies RobertO'Neill PaulMeshejian KevinThigpen HarryO'Toole JannEllis MichaelRyanSegal Korchenko ChuckJeffreys BarryPrice JohnPanzarella JanetZappala LisaTalerico TiffanyBaldwin C.J.Byrnes TomDetrik JoeGerety ReneeSpei BonnieLoev RaymondMamrak SalMazzotta AllelonRuggiero Thang ScienceFiction Thriller Mystery 1995
9598,32,Babe,sheep pig affection piglet heroism talkinganimal separation germanshepherd grandson talkingpig ChristineCavanaugh MiriamMargolyes DannyMann HugoWeaving MiriamFlynn JamesCromwell RussiTaylor EvelynKrape MichaelEdward-Stevens CharlesBartlett PaulLivingston RoscoeLeeBrowne MagdaSzubanski ZoeBurton PaulGoddard WadeHayward BrittanyByrnes MaryAcres Fantasy Drama Comedy Family 1995
47018,33,Carrington,england painter conscientiousobjector independentfilm soldier EmmaThompson JonathanPryce StevenWaddington SamuelWest RufusSewell PenelopeWilton JanetMcTeer JeremyNortham AlexKingston RichardClifford DavidRyall StephenBoxer History Drama Romance 1995
687,34,Dead Man Walking,prison rape sociallydeprivedfamily penalty deathpenalty despair deathrow begnadigung therapist self-discovery prisoncell courtcase deathsentence doomedman sentence lethalinjection forgiveness charity mercypetition rageandhate unsociability rightandjustice court electricchair cowardliness SusanSarandon SeanPenn RobertProsky RaymondJ.Barry R.LeeErmey CeliaWeston LoisSmith ScottWilson RobertaMaxwell MargoMartindale JackBlack RayAranha PeterSarsgaard BartonHeyman SteveBoles NesbittBlaisdell LarryPine KevinCooney ClancyBrown MichaelCullen MissyYager JennyKrochmal JonAbrahams ArthurBridgers SteveCarlisle EvaAmurriMartino JackHenryRobbins DennisNeal MollyBryant AdeleRobbins PeteBurris JoanGlover LenoreBanks ScottSowers CortezNanceJr. AdamNelson JeremyKnaster MarcusLyleBrown AnthonyMichaelFrederick ThomasMcGowan CodieScott HelenPrejean Drama 1995
139405,35,Across the Sea of Time, PeterReznick JohnMcDonough AviHoffman MattMalloy AbbyLewis Adventure History Drama Family 1995
33689,36,It Takes Two,orphan identicaltwin KirstieAlley SteveGuttenberg AshleyOlsen Mary-KateOlsen JaneSibbett PhilipBosco MichelleGrisom DesmondRobertson TinyMills ShanelleHenry MichèleLonsdaleSmith SeanOrr ElizabethWalsh Comedy Family Romance 1995
9603,37,Clueless,puberty highschool makeamatch spoiledchild gayinterest conflict womandirector AliciaSilverstone StaceyDash BrittanyMurphy PaulRudd DonaldFaison ElisaDonovan BreckinMeyer JeremySisto DanHedaya WallaceShawn TwinkCaplan JustinWalker JulieBrown NicoleBilderback Comedy Drama Romance 1995
34615,38,"Cry, the Beloved Country",southafrica JamesEarlJones CharlesS.Dutton JackRobinson TsholofeloWechoemang RamalaoMakhene RichardHarris DollyRathebe JenniferSteyn IanRoberts DavidClatworthy Drama 1995
31174,39,Richard III,england shakespeare kidnapping murder king IanMcKellen AnnetteBening JimBroadbent KristinScottThomas AdrianDunbar MaggieSmith TimMcInnerny RobertDowneyJr. EdwardHardwicke NigelHawthorne JimCarter DominicWest JohnWood RogerHammond BillPaterson DonaldSumpter JamesDreyfus DerekLyons Drama War 1995
11443,40,Dead Presidents,money lossofvirginity hidinginadumpster mercykilling armoredtruck crushedbyacar LarenzTate KeithDavid ChrisTucker FreddyRodríguez RoseJackson N'BusheWright CliftonPowell TerrenceHoward BokeemWoodbine StickyFingaz CliftonCollinsJr ElizabethRodriguez MichaelImperioli Action Crime Drama History 1995
35196,41,Restoration,jealousy medicine fountain court wealth spaniel gloves RobertDowneyJr. MegRyan SamNeill DavidThewlis HughGrant PollyWalker IanMcKellen IanMcDiarmid MaryMacLeod WillieRoss Drama Romance 1995
9312,42,Mortal Kombat,martialarts monster island gore sorcerer tournament violence basedonvideogame handtohandcombat ChristopherLambert RobinShou LindenAshby Cary-HiroyukiTagawa BridgetteWilson TalisaSoto TrevorGoddard ChrisCasamassa FrançoisPetit KeithCooke EdBoon Action Fantasy 1995
577,43,To Die For,adultery winter obsession television newhampshire narcissisticpersonalitydisorder NicoleKidman MattDillon JoaquinPhoenix CaseyAffleck IlleanaDouglas AlisonFolland DanHedaya WayneKnight DavidCronenberg KurtwoodSmith HollandTaylor SusanTraylor MariaTucci TimHopper Fantasy Drama Comedy Thriller 1995
11861,44,How To Make An American Quilt,weddingvows marriageproposal marriedcouple monogamy advice marriage quilt love familyholiday extramaritalaffair grandmother womandirector WinonaRyder AnneBancroft EllenBurstyn KateNelligan JeanSimmons MayaAngelou AlfreWoodard DermotMulroney LoisSmith KateCapshaw RipTorn JohnathonSchaech SamanthaMathis JoannaGoing EstherRolle JaredLeto ClaireDanes LecyGoranson HollandTaylor TimGuinee DerrickO'Connor LorenDean MelindaDillon RichardJenkins DenisArndt AdamBaldwin MichaelMcElroy AriMeyers JaneAlden TamalaJones Rae'VenLarrymoreKelly AliciaGoranson WillEstes MykeltiWilliamson Drama Romance 1995
807,45,Se7en,self-fulfillingprophecy detective s.w.a.t. drugdealer evisceration lustandimpulsiveness rageandhate prideandvanity immoderateness insomnia investigation pension police serialkiller BradPitt MorganFreeman GwynethPaltrow JohnC.McGinley KevinSpacey R.LeeErmey RichardRoundtree RichardSchiff JulieAraskog MarkBooneJunior JohnCassini RegE.Cathey PeterCrombie HawthorneJames MichaelMassee LelandOrser RichardPortnow DanielZacapa AlfonsoFreeman HarrisSavides AndrewKevinWalker RichmondArquette PamalaTyson EmilyWagner ShannonWilcox GeorgeChristy EndreHules WilliamDavidson BobCollins DominiqueJennings AllanKolman GeneBorkan MarioDiDonato HarrisonWhite BobStephenson MichaelReidMacKay LennieLoftin MartinSerene DavidCorreia LexieBigham EvanMirand PaulEckstein RachelFlanagan HeidiSchanz BrianEvers JamesDeeth CharlesA.Tamburro CharlesS.Dutton ArthurMax Crime Mystery Thriller 1995
10530,46,Pocahontas,cultureclash settler forbiddenlove colony musical goldrush princess romance nativeamerican animation virginia starcrossedlovers referencetopizarro jamestownvirginia pugdog crossculturalrelationship musket animatetree indianchief basedonmythsorfolklore 17thcentury shamanism songs indiansvs.settlers animalsidekick powhatan landclaim IreneBedard MelGibson DavidOgdenStiers JohnKassir RussellMeans ChristianBale JudyKuhn LindaHunt DannyMann BillyConnolly JoeBaker FrankWelker MichelleSt.John JamesApaumutFall GordonTootoosis JimCummings Adventure Animation Drama Family 1995
8391,47,When Night Is Falling,professor lgbt womandirector PascaleBussières RachaelCrawford HenryCzerny DonMcKellar Drama Romance 1995
629,48,The Usual Suspects,law relatives theft criminal criminalmastermind hungarian sibling StephenBaldwin GabrielByrne ChazzPalminteri KevinPollak PetePostlethwaite KevinSpacey SuzyAmis GiancarloEsposito BeniciodelToro DanHedaya PaulBartel CarlBressler ChristineEstabrook ClarkGregg MorganHunter LouisLombardi FrankMedrano RonGilbert Drama Crime Thriller 1995
11448,49,Mighty Aphrodite,prostitute adoption adoptivefather childlessness lookingforbirthparents adoptivemother independentfilm illegalprostitution child WoodyAllen MiraSorvino HelenaBonhamCarter F.MurrayAbraham DonaldSymington ClaireBloom OlympiaDukakis MichaelRapaport DavidOgdenStiers JackWarden PeterWeller DanielleFerland Comedy Romance 1995
49133,50,Lamerica,independentfilm EnricoLoVerso MichelePlacido PiroMilkani CarmeloDiMazzarelli MarjetaLjarja Drama Foreign 1994
26441,51,The Big Green,sport kidsandfamily soccer womandirector SteveGuttenberg Oliviad'Abo JayO.Sanders JohnTerry BugHall JessicaRobertson PatrickRenna BillyL.Sullivan ChaunceyLeopardi JordanBrower HayleyKolb HaleyMiller AshleyWelch Action Adventure Comedy Family 1995
97406,52,Georgia,alcohol artist music drug band JenniferJasonLeigh MareWinningham TedLevine MaxPerlich JohnDoe JohnC.Reilly JimmyWitherspoon JasonCarter Drama 1995
9089,53,Home for the Holidays,baltimore thanksgiving familyclan familyconflict generationsconflict womandirector HollyHunter RobertDowneyJr. AnneBancroft CharlesDurning ClaireDanes DylanMcDermott GeraldineChaplin SteveGuttenberg DavidStrathairn CynthiaStevenson Comedy Drama Romance 1995
11010,54,The Postman,island letter postman fisherman poet PhilippeNoiret MassimoTroisi MariaGraziaCucinotta RenatoScarpa LindaMoretti MarianoRigillo AnnaBonaiuto SimonaCaparrini CarloDiMaio NandoNeri VincenzoDiSauro OrazioStracuzzi SergioSolli AlfredoCozzolino Comedy Drama Romance 1994
99040,55,The Confessional, LothaireBluteau PatrickGoyette Jean-LouisMillette KristinScottThomas RonBurrage Thriller Drama Mystery 1995
11359,56,The Indian in the Cupboard,cupboard games puppet parallelworld toycomestolife HalScardino Litefoot LindsayCrouse RichardJenkins RishiBhat SteveCoogan DavidKeith SakinaJaffrey VincentKartheiser NestorSerrano Adventure Family Fantasy 1995
17182,57,Eye for an Eye,rape gun self-defense grievingparents SallyField KieferSutherland EdHarris BeverlyD'Angelo CharlayneWoodard JoeMantegna OliviaBurnette AlexandraKyle KeithDavid PhilipBakerHall NatalijaNogulich ArminShimerman NicholasCascone DarrellLarson CynthiaRothrock WandaAcuna SierraPecheur Drama Thriller 1996
2054,58,Mr. Holland's Opus,composer mentor deaf-mute musical apprentice privatelife music disabled RichardDreyfuss GlenneHeadly JayThomas OlympiaDukakis WilliamH.Macy AliciaWitt NicholasJohnRenner JosephAnderson AnthonyNatale JeanLouisaKelly TerrenceHoward DamonWhitaker AlexandraBoyd JoannaGleason BethMaitland JoshuaMinnick Music Drama Family 1995
10607,59,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,date slang hip-hop cousin parody hood gang socialsatire racism gangster ShawnWayans MarlonWayans TraceyCherelleJones ChrisSpencer VivicaA.Fox Rappin'Granny SuliMcCullough BernieMac FaizonLove KeenenIvoryWayans KimWayans HelenMartin VirginiaWatson DarrelHeath Comedy 1996
19760,60,Two If by Sea,island painting thief seasickness SandraBullock DenisLeary YaphetKotto StephenDillane TraceyCherelleJones JuliaMontgomeryBrown ClaireRankin JaneMoffat MikeStarr JonathanTucker WayneRobson MichaelBadalucco Comedy Romance 1996
9536,61,Bio-Dome,biotope vegetarian pollution PaulyShore StephenBaldwin JoeyLaurenAdams TeresaHill WilliamAtherton DaraTomanovich KevinWest DeniseDowse KylieMinogue KyleGass JackBlack RoseMcGowan Comedy 1996
11525,62,Lawnmower Man 2: Beyond Cyberspace,hacker virtualreality computer swordfight PatrickBergin MattFrewer AustinO'Brien ElyPouget CamilleCooper PatrickLaBrecque CrystalCelesteGrant SeanP.Young MathewValencia KevinConway TreverO'Brien RichardFancy CastuloGuerra MollyShannon EllisE.Williams Action ScienceFiction 1996
4482,63,French Twist,lovetriangle southernfrance estateagent menageatrois van womandirector VictoriaAbril JosianeBalasko AlainChabat TickyHolgado CatherineHiegel KatrineBoorman TelscheBoorman VéroniqueBarrault Comedy Romance 1995
10634,64,Friday,rapmusic parentchildrelationship rapper job IceCube ChrisTucker NiaLong TomListerJr. JohnWitherspoon AnnaMariaHorsford ReginaKing PaulaJaiParker FaizonLove DJPooh TonyCox AnthonyJohnson BernieMac MeaganGood TerriJ.Vaughn F.GaryGray ReynaldoRey MichaelClarkeDuncan Comedy 1995
755,65,From Dusk Till Dawn,dancing brotherbrotherrelationship sexualobsession showdown sheriff eroticism nudity bankrobber vampire holywater siege stripper priest explosion extremeviolence bankrobbery preacher hostagesituation crucifix recreationalvehicle bloodspurting conveniencestore femalevampire mexicanamericanborder nightclubentertainer boaconstrictor GeorgeClooney QuentinTarantino HarveyKeitel JulietteLewis ErnestLiu SalmaHayek CheechMarin DannyTrejo TomSavini FredWilliamson MichaelParks BrendaHillhouse JohnSaxon MarcLawrence KellyPreston JohnHawkes TitoLarriva PeterAtanasoff JohnnyVatosHernandez AimeeGraham HeidiMcNeal ErnestM.Garcia GregoryNicotero Cristos MikeMoroff TiaTexada JanineJordae UngelaBrockman MichelleBerube MichaelMcKay JakeMcKinnon WalterPhelan WayneToth Horror Action Thriller Crime 1996
11859,66,Fair Game,bomb miami sex detective handcuffs basedonnovel hostage fbi kidnapping russian kgb chase sadism parkinggarage pizza policeprotection psychopath remake carcrash conspiracy ontherun fugitive shootout gunfight sadist footchase policedetective policestation carchase heldatgunpoint fbiagent doublecross cultfilm computerhacker machinegun swatteam grenadelauncher underwaterscene rogueagent womanlawyer damselindistress WilliamBaldwin CindyCrawford StevenBerkoff ChristopherMcDonald MiguelSandoval JohannCarlo SalmaHayek JohnBedfordLloyd JenetteGoldstein PaulDillon OlekKrupa GustavVintas MarcMacaulay RubenRabasa SonnyCarlDavis DanHedaya AntoniCorone DanHedaya Action Thriller Romance 1995
28387,67,Kicking and Screaming,college JoshHamilton Oliviad'Abo CarlosJacott EricStoltz ChrisEigeman JasonWiles ParkerPosey SamuelGould CatherineKellner JonathanBaumbach PeterCzernin ElizaRoberts ChristopherReed NoahBaumbach DeanCameron ElliottGould DavidDeLuise CaraBuono PerreyReeves LaurenKatz JohnLehr Comedy Drama Romance 1995
48750,68,Les Miserables,paris nun boxer lawyer jewish Jean-PaulBelmondo MichelBoujenah AlessandraMartines SaloméLelouch AnnieGirardot PhilippeLéotard PhilippeKhorsand TickyHolgado Rufus NicoleCroisille WilliamLeymergie JeanMarais MichelinePresle DarryCowl ClémentineCélarié DanielToscanduPlantier Drama History 1995
20927,69,Bed of Roses,florist familyrelationships ChristianSlater MaryStuartMasterson PamelaAdlon JoshBrolin BrianTarantina DebraMonk MaryAlice KennethCranham AllyWalker AnnePitoniak MichaelHaley CassMorgan GinaTorres NickTate VíctorSierra MichaelMantell ZacharyChaltiel ClaireJacobs PaulCassell YvonneZima DesireeCasado AldisHodge JessicaBrooksGrant JonathanNocera LeahPepper DonnaJeanFogel S.A.Griffin EdithBlume LizSinclair AlCerullo JohnD.Bair JamieHarrold AdrianLee AndreaLeigh BenjaminRutkowski Drama Romance 1996
9102,70,Screamers,manvsmachine alienplanet struggleforsurvival PeterWeller RoyDupuis JenniferRubin AndrewLauer LilianaKomorowska MichaelCaloz JasonCavalier RonWhite CharlesEdwinPowell Horror ScienceFiction 1995
124626,71,Nico Icon, Nico TinaAumont JacksonBrowne JohnCale PaulMorrissey Viva AriBoulogne Documentary 1995
